tipo;nombre;fecha_inicio;fecha_fin
Tarea;Foro general - Escenario 1 y 2;2025-08-27T05:00:00Z;2025-09-11T04:55:59Z
Quiz;Evaluacion diagnostica - Semana 1 y 2;2025-08-27T05:00:00Z;2025-09-11T04:55:59Z
Tarea;Foro - Semana 1 y 2;2025-08-27T05:00:00Z;2025-09-11T04:55:59Z
Tarea;Foro de dudas;2025-08-27T05:00:00Z;2025-10-23T04:55:59Z
Tarea;Unidad 1 - Actividad formativa - Semana 2 a 7;2025-09-04T05:00:00Z;2025-10-16T04:55:59Z
Quiz;Unidad 1 - Evaluacion diagnostica;2025-08-31T05:00:00Z;2025-09-04T04:55:59Z
Tarea;Unidad 1 - Actividad formativa;2025-09-04T05:00:00Z;2025-09-11T04:55:59Z
Tarea;Actividad en contexto - Escenario 2;2025-09-07T05:00:00Z;2025-09-11T04:55:59Z
Quiz;Quiz - Escenario 2;2025-09-07T05:00:00Z;2025-09-11T04:55:59Z
Quiz;Tema 1 - Cuestionario (S2);2025-09-07T05:00:00Z;2025-09-11T04:55:59Z
Quiz;Quiz - Escenario 3;2025-09-14T05:00:00Z;2025-09-18T04:55:59Z
Tarea;Entrega inicial - Escenario 3;2025-09-14T05:00:00Z;2025-09-18T04:55:59Z
Tarea;Informe 1 - Semana 3;2025-09-14T05:00:00Z;2025-09-18T04:55:59Z
Tarea;Entrega proyecto 1 - Escenario 3;2025-09-14T05:00:00Z;2025-09-18T04:55:59Z
Tarea;Primera entrega - Semana 3;2025-09-14T05:00:00Z;2025-09-18T04:55:59Z
Tarea;Entrega de proyecto 1 - Semana 3;2025-09-14T05:00:00Z;2025-09-18T04:55:59Z
Tarea;Primera entrega - Semana 4;2025-09-21T05:00:00Z;2025-09-25T04:55:59Z
Quiz;Tema 2 - Cuestionario (S4);2025-09-21T05:00:00Z;2025-09-25T04:55:59Z
Tarea;Entrega de proyecto 1 - Semana 4;2025-09-21T05:00:00Z;2025-09-25T04:55:59Z
Tarea;Unidad 2 - Actividad de entrega 1;2025-09-21T05:00:00Z;2025-09-25T04:55:59Z
Tarea;Foro analitico o argumentativo - Escenario 5 y 6;2025-09-25T05:00:00Z;2025-10-09T04:55:59Z
Tarea;Foro - Semana 5 y 6;2025-09-25T05:00:00Z;2025-10-09T04:55:59Z
Tarea;Entrega proyecto 2 - Escenario 5;2025-09-28T05:00:00Z;2025-10-02T04:55:59Z
Tarea;Informe 2 - Semana 5;2025-09-28T05:00:00Z;2025-10-02T04:55:59Z
Tarea;Tema 3 - Actividad de entrega (S5);2025-09-28T05:00:00Z;2025-10-02T04:55:59Z
Tarea;Segunda entrega - Semana 5;2025-09-28T05:00:00Z;2025-10-02T04:55:59Z
Tarea;Unidad 3 - Actividad de entrega 1;2025-09-28T05:00:00Z;2025-10-02T04:55:59Z
Tarea;Unidad 3 - Actividad formativa;2025-10-02T05:00:00Z;2025-10-09T04:55:59Z
Tarea;Sustentacion - Semana 7;2025-10-09T05:00:00Z;2025-10-16T04:55:59Z
Tarea;Entrega final y sustentacion - Escenario 7 y 8;2025-10-09T05:00:00Z;2025-10-23T04:55:59Z
Tarea;Tema 4 - Actividad de entrega (S7);2025-10-12T05:00:00Z;2025-10-16T04:55:59Z
Tarea;Entrega final - Escenario 7;2025-10-12T05:00:00Z;2025-10-16T04:55:59Z
Tarea;Actividad en contexto - Escenario 7;2025-10-12T05:00:00Z;2025-10-16T04:55:59Z
Tarea;Entrega de proyecto 2 - Semana 7;2025-10-12T05:00:00Z;2025-10-16T04:55:59Z
Tarea;Entrega final - Semana 7;2025-10-12T05:00:00Z;2025-10-16T04:55:59Z
Tarea;Unidad 4 - Actividad de entrega 2;2025-10-12T05:00:00Z;2025-10-16T04:55:59Z
Tarea;Unidad 4 - Actividad de entrega final;2025-10-12T05:00:00Z;2025-10-16T04:55:59Z
Quiz;Evaluacion final - Escenario 8;2025-10-19T05:00:00Z;2025-10-23T04:55:59Z
Tarea;Informe final - Semana 8;2025-10-19T05:00:00Z;2025-10-23T04:55:59Z
Tarea;Entrega final - Semana 8;2025-10-19T05:00:00Z;2025-10-23T04:55:59Z
Quiz;Examen final - Semana 8;2025-10-19T05:00:00Z;2025-10-23T04:55:59Z
Quiz;Unidad 4 - Examen final;2025-10-19T05:00:00Z;2025-10-23T04:55:59Z
Quiz;Unidad 4 - Autoevaluacion;2025-10-19T05:00:00Z;2025-10-23T04:55:59Z
